date,classification,sentiment_score,value,Closed PnL,Size USD,profit,pnl_per_usd
2024-12-02,Extreme Greed,2,80,0.0,7872.16,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,127.68,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,1150.63,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,1142.04,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,69.75,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,11.27,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,1151.77,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,272.0,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,368.0,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,100.0,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,11706.64,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,57.77,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,794.87,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,227.53,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,14835.57,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,792.71,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,776.86,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,166.55,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,160.69,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,1204.5,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,198.23,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,71.37,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,1142.6,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,127.29,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,1586.3,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,2335.03,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,2057.19,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,2469.92,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,752.34,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,1143.74,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,880.54,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,14.96,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,1078.25,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,2548.78,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,11336.94,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,752.04,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,607.96,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,1083.66,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,1084.74,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,738.47,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,324.71,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,1085.82,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,1002.8,0,0.0
2024-12-02,Extreme Greed,2,80,0.0,864.63,0,0.0
2024-12-03,Extreme Greed,2,76,3008.231185,22156.95,1,0.1357691913823879
2024-12-03,Extreme Greed,2,76,30.741534,226.43,1,0.1357661705604381
2024-12-03,Extreme Greed,2,76,40.770089,302.2,1,0.13491094970218398
2024-12-03,Extreme Greed,2,76,243.812267,1809.28,1,0.13475651474619738
2024-12-03,Extreme Greed,2,76,254.263735,1892.21,1,0.1343739516227057
2024-12-03,Extreme Greed,2,76,24.301227,180.85,1,0.13437228089577
2024-12-03,Extreme Greed,2,76,134.551236,1001.82,1,0.13430679762831646
2024-12-03,Extreme Greed,2,76,41.230486,307.36,1,0.13414395497136908
2024-12-03,Extreme Greed,2,76,606.330666,4520.0,1,0.13414395265486725
2024-12-03,Extreme Greed,2,76,606.330666,4520.0,1,0.13414395265486725
2024-12-03,Extreme Greed,2,76,154.369969,1151.03,1,0.13411463558725664
2024-12-03,Extreme Greed,2,76,173.909751,1297.37,1,0.13404792079360553
2024-12-03,Extreme Greed,2,76,13.494046,100.93,1,0.1336970771822055
2024-12-03,Extreme Greed,2,76,153.720586,1150.38,1,0.1336259201307394
2024-12-03,Extreme Greed,2,76,88.119595,660.06,1,0.1335024012968518
2024-12-03,Extreme Greed,2,76,34.075565,255.35,1,0.13344650479733697
2024-12-03,Extreme Greed,2,76,255.761609,1919.93,1,0.13321402811560837
2024-12-03,Extreme Greed,2,76,46.6749,350.38,1,0.13321222672526972
2024-12-03,Extreme Greed,2,76,173.291472,1301.13,1,0.1331853634917341
2024-12-03,Extreme Greed,2,76,17.979787,135.0,1,0.13318360740740742
2024-12-03,Extreme Greed,2,76,0.0,1755.67,0,0.0
2024-12-03,Extreme Greed,2,76,0.0,2120.06,0,0.0
2024-12-03,Extreme Greed,2,76,0.0,1814.51,0,0.0
2024-12-03,Extreme Greed,2,76,0.0,860.43,0,0.0
2024-12-03,Extreme Greed,2,76,0.0,3632.14,0,0.0
2024-12-03,Extreme Greed,2,76,0.0,36840.17,0,0.0
2024-12-03,Extreme Greed,2,76,0.0,1856.12,0,0.0
2024-12-03,Extreme Greed,2,76,0.0,2133.99,0,0.0
2024-12-03,Extreme Greed,2,76,0.0,1802.24,0,0.0
2024-12-03,Extreme Greed,2,76,0.0,3100.88,0,0.0
2024-12-03,Extreme Greed,2,76,0.0,3101.27,0,0.0
2024-12-03,Extreme Greed,2,76,0.0,751.18,0,0.0
2024-12-03,Extreme Greed,2,76,0.0,2314.97,0,0.0
2024-12-03,Extreme Greed,2,76,0.0,3099.31,0,0.0
2024-12-03,Extreme Greed,2,76,0.0,569.98,0,0.0
2024-12-03,Extreme Greed,2,76,0.0,10481.53,0,0.0
2024-12-03,Extreme Greed,2,76,0.0,3099.84,0,0.0
2024-12-03,Extreme Greed,2,76,0.0,3100.1,0,0.0
2024-12-03,Extreme Greed,2,76,0.0,3913.15,0,0.0
2024-12-03,Extreme Greed,2,76,0.0,4078.06,0,0.0
2024-12-03,Extreme Greed,2,76,0.0,27264.71,0,0.0
2024-12-03,Extreme Greed,2,76,124.826134,907.56,1,0.137540365375292
2024-12-03,Extreme Greed,2,76,266.532371,1937.98,1,0.13753102250797222
2024-12-03,Extreme Greed,2,76,124.816134,907.55,1,0.13753086221144842
2024-12-03,Extreme Greed,2,76,33.013868,240.05,1,0.13752913143095188
2024-12-03,Extreme Greed,2,76,179.80434,1307.65,1,0.13750188506098726
2024-12-03,Extreme Greed,2,76,37.43584,272.26,1,0.13750033056637037
2024-12-03,Extreme Greed,2,76,13.442265,98.29,1,0.1367612676772815
2024-12-03,Extreme Greed,2,76,3.716884,27.2,1,0.13665014705882353
2024-12-03,Extreme Greed,2,76,178.493121,1306.33,1,0.1366370832791102
2024-12-03,Extreme Greed,2,76,47.804608,349.94,1,0.13660801280219467
2024-12-03,Extreme Greed,2,76,101.447367,743.45,1,0.13645486179299213
2024-12-03,Extreme Greed,2,76,120.841353,885.57,1,0.13645601477014804
2024-12-03,Extreme Greed,2,76,120.928211,888.01,1,0.13617888424679903
2024-12-03,Extreme Greed,2,76,101.193105,743.19,1,0.13616047713236185
2024-12-03,Extreme Greed,2,76,100.930641,742.93,1,0.13585484635160783
2024-12-03,Extreme Greed,2,76,177.196311,1305.04,1,0.13577845200147123
2024-12-03,Extreme Greed,2,76,100.668177,742.67,1,0.1355490015753969
2024-12-03,Extreme Greed,2,76,36.81784,271.64,1,0.13553909586217053
2024-12-03,Extreme Greed,2,76,100.413915,742.41,1,0.13525399038267266
2024-12-03,Extreme Greed,2,76,122.416134,905.15,1,0.13524403027122578
2024-12-03,Extreme Greed,2,76,61.208067,452.58,1,0.13524253612620973
2024-12-03,Extreme Greed,2,76,4.780606,35.39,1,0.1350835264198926
2024-12-03,Extreme Greed,2,76,12.226614,90.5,1,0.13510070718232045
2024-12-03,Extreme Greed,2,76,702.455615,5199.5,1,0.1351006087123762
2024-12-03,Extreme Greed,2,76,110.026636,815.27,1,0.13495729758239602
2024-12-03,Extreme Greed,2,76,100.151451,742.15,1,0.13494772081115677
2024-12-03,Extreme Greed,2,76,175.885092,1303.73,1,0.13490913916224984
2024-12-03,Extreme Greed,2,76,243.812267,1809.28,1,0.13475651474619738
2024-12-03,Extreme Greed,2,76,99.897189,741.9,1,0.13465047715325515
2024-12-03,Extreme Greed,2,76,8.631801,64.13,1,0.13459848744737252
2024-12-03,Extreme Greed,2,76,60.788067,452.16,1,0.13443928476645434
2024-12-03,Extreme Greed,2,76,99.634725,741.63,1,0.13434559686096842
2024-12-03,Extreme Greed,2,76,325.738252,2424.64,1,0.13434499637059522
2024-12-03,Extreme Greed,2,76,36.51907,272.04,1,0.13424154536097632
2024-12-03,Extreme Greed,2,76,1822.714868,13587.75,1,0.13414398027635185
2024-12-03,Extreme Greed,2,76,67.933288,506.42,1,0.13414416492239645
2024-12-03,Extreme Greed,2,76,81.24831,605.68,1,0.13414395390305114
2024-12-03,Extreme Greed,2,76,11.971214,89.31,1,0.13404113761056993
2024-12-03,Extreme Greed,2,76,0.0,2761.51,0,0.0
2024-12-03,Extreme Greed,2,76,0.0,843.7,0,0.0
2024-12-03,Extreme Greed,2,76,0.0,2761.75,0,0.0
2024-12-03,Extreme Greed,2,76,0.0,2761.99,0,0.0
2024-12-03,Extreme Greed,2,76,0.0,2762.23,0,0.0
2024-12-03,Extreme Greed,2,76,0.0,3691.59,0,0.0
2024-12-03,Extreme Greed,2,76,0.0,3580.91,0,0.0
2024-12-03,Extreme Greed,2,76,0.0,3521.41,0,0.0
2024-12-03,Extreme Greed,2,76,0.0,3276.97,0,0.0
2024-12-03,Extreme Greed,2,76,0.0,1042.4,0,0.0
2024-12-03,Extreme Greed,2,76,0.0,3551.7,0,0.0
2024-12-03,Extreme Greed,2,76,0.0,12284.77,0,0.0
2024-12-03,Extreme Greed,2,76,0.0,2267.98,0,0.0
2024-12-03,Extreme Greed,2,76,0.0,983.12,0,0.0
2024-12-03,Extreme Greed,2,76,0.0,34174.56,0,0.0
2024-12-03,Extreme Greed,2,76,0.0,19561.15,0,0.0
2024-12-03,Extreme Greed,2,76,0.0,7831.38,0,0.0
2024-12-03,Extreme Greed,2,76,0.0,2269.16,0,0.0
2024-12-03,Extreme Greed,2,76,0.0,5438.59,0,0.0
2024-12-03,Extreme Greed,2,76,139.418262,3584.0,1,0.03890018470982143
2024-12-03,Extreme Greed,2,76,81.421585,2097.37,1,0.038820801766021255
2024-12-03,Extreme Greed,2,76,128.537643,3314.43,1,0.03878122120545614
2024-12-03,Extreme Greed,2,76,0.563574,14.55,1,0.03873360824742268
2024-12-03,Extreme Greed,2,76,34.234672,891.88,1,0.03838484101000135
2024-12-03,Extreme Greed,2,76,939.42948,24524.81,1,0.038305270458772155
2024-12-03,Extreme Greed,2,76,28.931448,756.07,1,0.038265568002962685
2024-12-03,Extreme Greed,2,76,34.643246,906.28,1,0.038225764664342146
2024-12-03,Extreme Greed,2,76,0.647703,16.96,1,0.03819003537735849
2024-12-03,Extreme Greed,2,76,269.166861,7048.8,1,0.038186196373850866
2024-12-03,Extreme Greed,2,76,278.396148,7298.08,1,0.0381464916800035
2024-12-03,Extreme Greed,2,76,41.685479,1092.77,1,0.03814661731196867
2024-12-03,Extreme Greed,2,76,40.532431,1063.65,1,0.03810692521036055
2024-12-03,Extreme Greed,2,76,1545.740362,40648.06,1,0.03802740799929935
2024-12-03,Extreme Greed,2,76,28.375161,748.52,1,0.03790835381820125
2024-12-03,Extreme Greed,2,76,1026.702945,27140.75,1,0.03782883468585061
2024-12-03,Extreme Greed,2,76,272.93661,7474.4,1,0.036516189928288555
2024-12-03,Extreme Greed,2,76,169.265096,4886.34,1,0.03464046627946479
2024-12-03,Extreme Greed,2,76,28.282431,818.35,1,0.03456031160261502
2024-12-03,Extreme Greed,2,76,123.076933,3565.33,1,0.0345204884260363
2024-12-03,Extreme Greed,2,76,123.262149,3574.84,1,0.03448046597889695
2024-12-03,Extreme Greed,2,76,281.038797,8188.67,1,0.03432044483414278
2024-12-03,Extreme Greed,2,76,241.607196,7056.2,1,0.034240412119837874
2024-12-03,Extreme Greed,2,76,25.686648,752.82,1,0.03412057065433968
2024-12-03,Extreme Greed,2,76,143.982979,4224.81,1,0.034080344204828146
2024-12-03,Extreme Greed,2,76,35.639115,1049.44,1,0.0339601263531026
2024-12-03,Extreme Greed,2,76,143.457679,4224.29,1,0.03396018715571138
2024-12-03,Extreme Greed,2,76,569.65113,16813.73,1,0.03388011642865682
2024-12-03,Extreme Greed,2,76,246.854931,7329.46,1,0.03367982511672074
2024-12-03,Extreme Greed,2,76,264.887769,7864.88,1,0.03367982334123343
2024-12-03,Extreme Greed,2,76,142.138008,4225.3,1,0.03363974345016922
2024-12-03,Extreme Greed,2,76,23.388481,696.92,1,0.03355977874074499
2024-12-03,Extreme Greed,2,76,0.646632,19.29,1,0.033521617418351475
2024-12-03,Extreme Greed,2,76,5.65803,168.8,1,0.03351913507109005
2024-12-03,Extreme Greed,2,76,0.646632,19.29,1,0.033521617418351475
2024-12-03,Extreme Greed,2,76,1.374093,40.99,1,0.03352263966821176
2024-12-03,Extreme Greed,2,76,0.646632,19.29,1,0.033521617418351475
2024-12-03,Extreme Greed,2,76,140.816737,4226.31,1,0.033319074322517746
2024-12-03,Extreme Greed,2,76,140.290837,4225.78,1,0.0331988028245673
2024-12-03,Extreme Greed,2,76,27.895221,841.26,1,0.03315885814135939
2024-12-03,Extreme Greed,2,76,78.471907,2369.42,1,0.03311861426002988
2024-12-03,Extreme Greed,2,76,32.72989,988.26,1,0.033118703580029545
2024-12-03,Extreme Greed,2,76,263.276042,7949.5,1,0.033118566199132025
